investorid,investorname,companyid
541,Elaia Partners,188
542,83North,188
543,Felix Capital,188
544,Two Sigma Ventures,189
545,Flint Capital,189
546,Commerce Ventures,189
547,Airbus Ventures,190
548,Index Ventures,190
549,Advent International,190
550,WestCap Group,191
551,Caisse de depot et placement du Quebec,191
552,DN Capital,192
553,Left Lane Capital,192
554,Coatue Management,192
555,Madrona Venture Group,193
556,Shasta Ventures,193
557,Salesforce Ventures,193
558,Kleiner Perkins Caufield & Byers,194
559,Lightspeed Venture Partners,194
560,True Ventures,194
561,Insight Partners,195
562,Tiger Global Management,195
563,Accel,195
564,Matrix Partners,196
565,Initialized Capital,196
566,Tiger Global Management,196
567,Blume Ventures,197
568,Nexus Venture Partners,197
569,Sequoia Capital India,197
570,New Enterprise Associates,198
571,Coatue Management,198
572,Tiger Global Management,198
573,Tiger Global Management,199
574,Kalaari Capital,199
575,China Environmental Protection Industry,200
576,China Fortune Ocean,200
577,Insight Partners,201
578,Salesforce Ventures,201
579,Vertex Ventures,201
580,Index Ventures,202
581,Coatue Management,202
582,Andreessen Horowitz,202
583,Oriza Holdings,203
584,Guangdong Technology Financial Group,203
585,Geely,204
586,SIG Asia Investments,204
587,China State Capital Venture Capital Fund,204
588,Bessemer Venture Partners,205
589,Sutter Hill Ventures,205
590,Matrix Partners,205
591,Greycroft,206
592,Sands Capital,206
593,Revolution Growth,206
594,Andreessen Horowitz,207
595,IA Ventures,207
596,Felicis Ventures,207
597,Sequoia Capital China,208
598,DST Global,208
599,DST Global,208
600,Moore Strategic Ventures,209
601,DST Global,209
602,Sequoia Capital India,209
603,BOLDstart Ventures,210
604,Lerer Hippeau,210
605,Kenetic Capital,210
606,Tiger Global,211
607,Sequoia Capital,211
608,Google Capital,211
609,Thrive Capital,212
610,Founders Fund,212
611,Cocnord Health Partners,212
612,Sequoia Capital India,213
613,Softbank,213
614,Bertelsmann India Investments,213
615,AME Cloud Ventures,214
616,Future Perfect Ventures,214
617,Blockchain Capital,214
618,Third Point,215
619,Electric Capital,215
620,Coinbase Ventures,215
621,M12,216
622,WestBridge Capital,216
623,Lightspeed Venture Partners,216
624,Accel,217
625,Sequoia Capital,217
626,Y Combinator,217
627,Thrive Capital,218
628,Alliance Consumer Growth,218
629,Imaginary Ventures,218
630,Playground Global,219
631,M12,219
632,BlackRock,219
633,Dragoneer Investment Group,220
634,DST Global,220
635,Franklin Templeton,220
636,DST Global,221
637,Lightspeed Venture Partners,221
638,Microsoft ScaleUp,221
639,Susquehanna Growth Equity,222
640,Citi Ventures,222
641,ICONIQ Capital,222
642,Kaszek Ventures,223
643,Qualcomm Ventures,223
644,Accel,223
645,Falcon Edge Capital,224
646,Omidyar Network,224
647,Sequoia Capital India,224
648,Sequoia Capital China,225
649,Sina Weibo,225
650,Kleiner Perkins Caufield & Byers,225
651,Redpoint Ventures,225
652,Global Founders Capital,226
653,East Ventures,226
654,Expedia Inc.,226
655,Morningside Ventures,227
656,Warburg Pincus,227
657,CreditEase Fintech Investment Fund,227
658,CPP Investment Board,228
659,General Catalyst,229
660,Digital Currency Group,229
661,Accel,229
662,Sequoia Capital China,230
663,Xiang He Capital,230
664,GGV Capital,230
665,Times Internet,231
666,Nexus Venture Partners,231
667,SoftBank Group,231
